UID	ProportionCoverage30x
BLGSP-71-06-00074-01A-11D	0.946525
BLGSP-71-06-00075-01B-11D	0.928486
BLGSP-71-06-00076-01A-11D	0.950552
BLGSP-71-06-00078-01A-11D	0.944537
BLGSP-71-06-00084-01A-01D	0.952577
BLGSP-71-06-00085-01A-01D	0.951822
BLGSP-71-06-00086-01A-01D	0.951246
BLGSP-71-06-00087-01A-01D	0.951541
BLGSP-71-06-00088-01A-01D	0.95235
BLGSP-71-06-00089-01A-01D	0.950705
BLGSP-71-06-00093-01A-01D	0.948788
BLGSP-71-06-00094-01A-01D	0.950045
BLGSP-71-06-00095-01A-01D	0.949323
BLGSP-71-06-00098-01A-01D	0.953978
BLGSP-71-06-00137-01A-01D	0.950403
BLGSP-71-06-00142-01A-01D	0.954074
BLGSP-71-06-00143-01A-01D	0.947148
BLGSP-71-06-00144-01A-01D	0.9533
BLGSP-71-06-00146-01C-01E	0.867844
BLGSP-71-06-00148-01A-01D	0.952926
BLGSP-71-06-00149-01A-01D	0.953247
BLGSP-71-06-00154-01A-01D	0.954003
BLGSP-71-06-00155-01A-01D	0.957684
BLGSP-71-06-00158-01A-01D	0.953036
BLGSP-71-06-00159-01A-01D	0.94043
BLGSP-71-06-00160-01A-03D	0.95138
BLGSP-71-06-00162-01A-01D	0.953818
BLGSP-71-06-00164-01C-01D	0.943656
BLGSP-71-06-00165-01A-01D	0.942689
BLGSP-71-06-00169-01B-01D	0.948602
BLGSP-71-06-00171-01A-01D	0.936613
BLGSP-71-06-00172-01A-01D	0.950917
BLGSP-71-06-00174-01A-01D	0.941563
BLGSP-71-06-00178-01A-01D	0.953466
BLGSP-71-06-00180-01A-01D	0.942129
BLGSP-71-06-00190-01B-01D	0.956774
BLGSP-71-06-00251-01C-01D	0.950536
BLGSP-71-06-00252-01A-01D	0.94098
BLGSP-71-06-00253-01A-01D	0.94394
BLGSP-71-06-00255-01C-01D	0.946653
BLGSP-71-06-00277-01A-01D	0.955606
BLGSP-71-06-00280-01A-01D	0.951309
BLGSP-71-06-00281-01A-01D	0.949324
BLGSP-71-06-00283-01A-01D	0.953011
BLGSP-71-06-00285-01A-01D	0.957331
BLGSP-71-06-00286-01A-01D	0.954333
BLGSP-71-08-00022-01A-01D	0.954522
BLGSP-71-08-00023-01A-01D	0.955118
BLGSP-71-08-00033-01A-01D	0.94178
BLGSP-71-08-00036-01A-01D	0.950529
BLGSP-71-08-00038-01A-01D	0.950995
BLGSP-71-08-00041-01A-01D	0.945264
BLGSP-71-08-00050-01A-11D	0.956867
BLGSP-71-08-00191-01A-11D	0.93186
BLGSP-71-08-00194-01A-11D	0.956986
BLGSP-71-08-00197-01A-11D	0.956244
BLGSP-71-08-00199-01A-11D	0.932943
BLGSP-71-08-00200-01A-11D	0.957229
BLGSP-71-08-00204-01A-11D	0.940234
BLGSP-71-08-00205-01A-11D	0.947707
BLGSP-71-08-00206-01A-11D	0.957693
BLGSP-71-08-00210-01A-11D	0.9469
BLGSP-71-19-00104-01A-01D	0.951621
BLGSP-71-19-00105-01A-01D	0.952829
BLGSP-71-19-00110-01A.1-01D	0.946534
BLGSP-71-19-00113-01A-01D	0.954088
BLGSP-71-19-00115-01A-01D	0.950805
BLGSP-71-19-00116-01A-01D	0.951241
BLGSP-71-19-00122-09A.1-01D	0.951901
BLGSP-71-19-00123-09A.1-01D	0.958577
BLGSP-71-19-00125-09A-01D	0.950794
BLGSP-71-19-00126-09A-01D	0.952499
BLGSP-71-19-00128-09A.1-01D	0.954531
BLGSP-71-19-00129-01A-01D	0.896254
BLGSP-71-19-00133-09A.1-01D	0.958258
BLGSP-71-22-00332-01A-01D	0.956516
BLGSP-71-22-00337-01A-01D	0.951582
BLGSP-71-22-00339-01A-01E	0.867366
BLGSP-71-22-00347-01A-12E	0.904955
SP59270	0.470258
SP59272	0.513374
SP59276	0.341008
SP59284	0.769088
SP59296	0.804458
SP59328	0.901519
SP59332	0.797798
SP59336	0.466526
SP59344	0.599113
SP59384	0.660212
SP59388	0.50634
SP59392	0.540347
SP59396	0.776064
SP59404	0.704972
SP116652	0.646835
SP116712	0.681903
SP116725	0.613013
SP124957	0.496025
SP124959	0.610901
SP124969	0.796193
SP124971	0.542896
SP124973	0.537312
SP124975	0.446425
SP124977	0.637047
SP124981	0.611757
SP192765	0.784665
SP192767	0.552688
SP193976	0.817871
SP192997	0.563248
SP193072	0.759841
SP192993	0.886935
SP192970	0.868729
SP193005	0.668187
SP193684	0.592285
SP193025	0.593635
SP192940	0.836237
SP192870	0.793022
SP193794	0.801144
SP192856	0.777166
SP192850	0.821839
SP192833	0.874348
SP192815	0.554849
SP193512	0.505022
SP193656	0.908084
SP193528	0.288704
SP193337	0.55323
SP192798	0.699143
SP193546	0.831683
SP192800	0.568528
SP193375	0.602014
SP193420	0.689549
SP194216	0.517017
SP194228	0.858082
SP194234	0.667878
SP193725	0.694609
SP193300	0.558441
SP193914	0.458197
SP193957	0.570636
SP193967	0.778111
SP194143	0.835302
SP194195	0.903254
SP194035	0.793724
SP194053	0.666092
SP194080	0.54665300000000006
SP193934	0.698463
SP59280	0.449043
SP59300	0.45004
SP59304	0.711197
SP59312	0.438455
SP59324	0.505494
SP59360	0.508661
SP59364	0.49623
SP59368	0.720608
SP59372	0.791576
SP59376	0.738708
SP59400	0.736787
SP59412	0.750652
SP59448	0.718518
SP59452	0.786661
SP59456	0.663882
SP59460	0.69023
SP116610	0.678187
SP116618	0.622807
SP116620	0.713507
SP116624	0.808512
SP116627	0.583647
SP116630	0.662332
SP116635	0.645928
SP116642	0.823331
SP116726	0.685671
SP116648	0.474352
SP116657	0.605275
SP116659	0.588887
SP116663	0.72153
SP116668	0.70953
SP116670	0.579352
SP116676	0.646361
SP116688	0.714616
SP116690	0.591839
SP116697	0.60407
SP116701	0.769047
SP116709	0.618141
SP124963	0.701922
SP124967	0.574142
SP124979	0.598003
SP124983	0.829362
SP124984	0.79885
SP193954	0.843754
SP193965	0.68337
SP193992	0.787229
SP193093	0.862845
SP193040	0.704258
SP193816	0.569404
SP193828	0.765121
SP192988	0.96916
SP193910	0.722482
SP193925	0.607223
SP193017	0.658113
SP193720	0.685346
SP193744	0.838815
SP193057	0.702121
SP192882	0.801248
SP193808	0.785005
SP193543	0.837666
SP193570	0.688862
SP192863	0.490973
SP192839	0.575012
SP193650	0.818658
SP192811	0.9281
SP193347	0.65851
SP193354	0.482712
SP192804	0.704956
SP193364	0.659186
SP193450	0.756215
SP193467	0.650104
SP193655	0.687909
SP194205	0.508836
SP194212	0.45329
SP194238	0.713973
SP193701	0.492367
SP193258	0.744094
SP193312	0.789355
SP193326	0.645146
SP193764	0.743978
SP194108	0.818917
SP193777	0.772563
SP193801	0.727985
SP193855	0.821765
SP193950	0.91945
SP193993	0.534177
SP194134	0.614633
SP194173	0.759567
SP194043	0.774448
SP194065	0.772002
SP194077	0.683226
SP194083	0.82019
SP193120	0.722515
SP193130	0.81195
SP193170	0.776235
SP193186	0.76137
SP193205	0.661532
SP193229	0.869166
SP59292	0.779247
SP59308	0.719897
SP59316	0.754015
SP59320	0.663554
SP59340	0.776845
SP59348	0.5032
SP59352	0.422621
SP59356	0.495979
SP59380	0.696819
SP59408	0.782151
SP59416	0.764099
SP59420	0.736063
SP59424	0.546258
SP59432	0.664646
SP59436	0.746401
SP59444	0.601922
SP59464	0.742518
SP116604	0.693574
SP116606	0.559427
SP116608	0.731557
SP116614	0.738161
SP116616	0.561334
SP116622	0.77771
SP116638	0.539598
SP116645	0.76673500000000006
SP116649	0.521773
SP116654	0.677702
SP116672	0.709104
SP116674	0.548311
SP116679	0.636281
SP116683	0.585991
SP116694	0.62738
SP116703	0.651268
SP116706	0.597471
SP116715	0.52496
SP116718	0.788733
SP116720	0.777402
SP116723	0.820619
DFCIDL008-Tumor	0.630403
DFCIDL009-Tumor	0.632349
DLBCL_P01-Tumor	0.636838
DLBCL_P02-Tumor	0.626728
DLBCL_P04-Tumor	0.669073
DLBCL_P07-Tumor	0.656973
DLBCL_P10-Tumor	0.657208
DLBCL-BWH_DLBCL64-Tumor	0.624919
DLBCL-c_D_1103-Tumor	0.659141
DLBCL-c_D_1104-Tumor	0.637765
DLBCL-c_D_1105-Tumor	0.617325
DLBCL-c_D_1106-Tumor	0.587004
DLBCL-c_D_1107-Tumor	0.644022
DLBCL-c_D_1108-Tumor	0.636676
DLBCL-c_D_1109-Tumor	0.513921
DLBCL-c_D_1110-Tumor	0.613297
DLBCL-c_D_1111-Tumor	0.543234
DLBCL-c_D_1112-Tumor	0.631763
DLBCL-c_D_1113-Tumor	0.669119
DLBCL-c_D_1114-Tumor	0.605275
DLBCL-c_D_1115-Tumor	0.56743
DLBCL-c_D_1117-Tumor	0.61507
DLBCL-c_D_1118-Tumor	0.634204
DLBCL-c_D_1120-Tumor	0.596058
DLBCL-c_D_1121-Tumor	0.74945
DLBCL-c_D_1123-Tumor	0.630768
DLBCL-c_D_1124-Tumor	0.579341
DLBCL-c_D_1125-Tumor	0.64764
DLBCL-c_D_1126-Tumor	0.5819
DLBCL-c_D_1127-Tumor	0.617025
DLBCL-c_D_1128-Tumor	0.638248
DLBCL-c_D_1129-Tumor	0.587476
DLBCL-c_D_1130-Tumor	0.621574
DLBCL-c_D_1131-Tumor	0.614061
DLBCL-c_D_1132-Tumor	0.659952
DLBCL-c_D_1133-Tumor	0.608904
DLBCL-c_D_1134-Tumor	0.60341
DLBCL-c_D_1135-Tumor	0.507293
DLBCL-c_D_1136-Tumor	0.614393
DLBCL-c_D_1138-Tumor	0.587481
DLBCL-c_D_1139-Tumor	0.636725
DLBCL-c_D_1140-Tumor	0.665951
DLBCL-c_D_1141-Tumor	0.658952
DLBCL-c_D_1142-Tumor	0.612208
DLBCL-c_D_1144-Tumor	0.596653
DLBCL-c_D_1145-Tumor	0.640949
DLBCL-c_D_1146-Tumor	0.644397
DLBCL-c_D_1147-Tumor	0.612788
DLBCL-c_D_1148-Tumor	0.627642
DLBCL-c_D_1149-Tumor	0.59058600000000006
DLBCL-c_D_1150-Tumor	0.671235
DLBCL-c_D_1151-Tumor	0.614427
DLBCL-c_D_1152-Tumor	0.611755
DLBCL-c_D_1153-Tumor	0.630352
DLBCL-c_D_1154-Tumor	0.684064
DLBCL-c_D_1155-Tumor	0.645906
DLBCL-c_D_1156-Tumor	0.687518
DLBCL-c_D_1157-Tumor	0.713645
DLBCL-c_D_1158-Tumor	0.616593
DLBCL-c_D_1159-Tumor	0.64075
DLBCL-c_D_1162-Tumor	0.6471
DLBCL-c_D_1163-Tumor	0.613319
DLBCL-c_D_1166-Tumor	0.531964
DLBCL-c_D_pair13-Tumor	0.574372
DLBCL-c_D_pair2-Tumor	0.605399
DLBCL-c_D_pair20-Tumor	0.562921
DLBCL-c_D_pair22-Tumor	0.749051
DLBCL-c_D_pair23-Tumor	0.672999
DLBCL-c_D_pair5-Tumor	0.607587
DLBCL-c_D_pair9-Tumor	0.533551
DLBCL-DFCI_DLBCL_Goe05-Tumor	0.594977
DLBCL-DFCI_DLBCL_Goe07-Tumor	0.596313
DLBCL-DFCI_DLBCL_Goe08-Tumor	0.590622
DLBCL-DFCI_DLBCL_Goe16-Tumor	0.600804
DFCI_DLBCL_Goe17-Tumor	0.594954
DLBCL-MC_F064AB-Tumor	0.639468
DLBCL-MC_F089_HCZ-Tumor	0.576109
DLBCL-MC_F089_MLB-Tumor	0.627139
DLBCL-MC_F132_MLM-Tumor	0.602186
DLBCL-MC_F139_AD-Tumor	0.604171
DLBCL-MC_F139_LJF-Tumor	0.642621
DLBCL-MC_F210_GWC-Tumor	0.574742
DLBCL-MC_F218_RAP-Tumor	0.580994
DLBCL-MC_F231_CAO-Tumor	0.594998
DLBCL-MC_F262_WLC-Tumor	0.601305
DLBCL-MC_F300_TBF-Tumor	0.52339
DLBCL-MC_F307_JPS-Tumor	0.604933
DLBCL-MC_F339_JPS2-Tumor	0.621007
DLBCL-MC_F344_CJS-Tumor	0.590204
DLBCL-MC_F349_BJJ-Tumor	0.581515
DLBCL-MC_F358_WDS-Tumor	0.600995
DLBCL-MC_F362_MJB1-Tumor	0.610056
DLBCL-MC_F496DMP-Tumor	0.594115
DLBCL-MC_F500_ECU-Tumor	0.598066
DLBCL-MC_F502_RFK-Tumor	0.526709
DLBCL-MC_F519_ALT-Tumor	0.615031
DLBCL-MC_F606_DMJ-Tumor	0.57712
DLBCL-MC_F648_JKW-Tumor	0.609725
DLBCL-MC_F729_MAN-Tumor	0.610633
DLBCL-MC_F739_AMA3-Tumor	0.548923
DLBCL-MC_F815_BAT-Tumor	0.608028
DLBCL-MC_F886_EJH-Tumor	0.617872
DLBCL-MC_F925_DLR-Tumor	0.630002
DLBCL-MC_F927_JHS-Tumor	0.595902
DLBCL-MC_F959_ERM-Tumor	0.53867
DLBCL-MC_F990_MNA-Tumor	0.614706
DLBCL-RICOVER_1013-Tumor	0.598749
DLBCL-RICOVER_1018-Tumor	0.475506
DLBCL-RICOVER_102-Tumor	0.616868
DLBCL-RICOVER_1032-Tumor	0.540626
DLBCL-RICOVER_1045-Tumor	0.590831
DLBCL-RICOVER_1046-Tumor	0.638959
DLBCL-RICOVER_105-Tumor	0.398891
DLBCL-RICOVER_1060-Tumor	0.595703
DLBCL-RICOVER_1061-Tumor	0.590345
DLBCL-RICOVER_107-Tumor	0.586281
DLBCL-RICOVER_1072-Tumor	0.626952
DLBCL-RICOVER_1081-Tumor	0.651987
DLBCL-RICOVER_1106-Tumor	0.616302
DLBCL-RICOVER_111-Tumor	0.497045
DLBCL-RICOVER_1138-Tumor	0.615573
DLBCL-RICOVER_1144-Tumor	0.695917
DLBCL-RICOVER_1150-Tumor	0.645222
DLBCL-RICOVER_1165-Tumor	0.651371
DLBCL-RICOVER_1169-Tumor	0.630593
DLBCL-RICOVER_1190-Tumor	0.637341
DLBCL-RICOVER_1192-Tumor	0.338977
DLBCL-RICOVER_1199-Tumor	0.589262
DLBCL-RICOVER_120-Tumor	0.579139
DLBCL-RICOVER_1204-Tumor	0.557571
DLBCL-RICOVER_1210-Tumor	0.598396
DLBCL-RICOVER_1219-Tumor	0.592589
DLBCL-RICOVER_1235-Tumor	0.55023
DLBCL-RICOVER_1237-Tumor	0.418823
DLBCL-RICOVER_1247-Tumor	0.567146
DLBCL-RICOVER_1248-Tumor	0.604671
DLBCL-RICOVER_1257-Tumor	0.454889
DLBCL-RICOVER_126-Tumor	0.648652
DLBCL-RICOVER_1263-Tumor	0.318344
DLBCL-RICOVER_1269-Tumor	0.497081
DLBCL-RICOVER_1278-Tumor	0.636439
DLBCL-RICOVER_1283-Tumor	0.609782
DLBCL-RICOVER_1287-Tumor	0.54336
DLBCL-RICOVER_1289-Tumor	0.664327
DLBCL-RICOVER_1293-Tumor	0.618659
DLBCL-RICOVER_1299-Tumor	0.542226
DLBCL-RICOVER_1329-Tumor	0.514492
DLBCL-RICOVER_134-Tumor	0.591312
DLBCL-RICOVER_147-Tumor	0.57243
DLBCL-RICOVER_148-Tumor	0.562107
DLBCL-RICOVER_150-Tumor	0.491902
DLBCL-RICOVER_151-Tumor	0.519967
DLBCL-RICOVER_173-Tumor	0.62254
DLBCL-RICOVER_174-Tumor	0.579005
DLBCL-RICOVER_181-Tumor	0.601067
DLBCL-RICOVER_197-Tumor	0.448526
DLBCL-RICOVER_208-Tumor	0.613884
DLBCL-RICOVER_215-Tumor	0.581582
DLBCL-RICOVER_216-Tumor	0.48287
DLBCL-RICOVER_221-Tumor	0.52318
DLBCL-RICOVER_224-Tumor	0.27805
DLBCL-RICOVER_253-Tumor	0.57361
DLBCL-RICOVER_258-Tumor	0.403159
DLBCL-RICOVER_266-Tumor	0.617835
DLBCL-RICOVER_267-Tumor	0.653331
DLBCL-RICOVER_269-Tumor	0.555016
DLBCL-RICOVER_274-Tumor	0.608082
DLBCL-RICOVER_288-Tumor	0.5717
DLBCL-RICOVER_290-Tumor	0.641844
DLBCL-RICOVER_299-Tumor	0.577629
DLBCL-RICOVER_314-Tumor	0.265245
DLBCL-RICOVER_320-Tumor	0.512834
DLBCL-RICOVER_325-Tumor	0.36508
DLBCL-RICOVER_335-Tumor	0.525631
DLBCL-RICOVER_336-Tumor	0.564575
DLBCL-RICOVER_338-Tumor	0.484313
DLBCL-RICOVER_342-Tumor	0.570704
DLBCL-RICOVER_361-Tumor	0.665677
DLBCL-RICOVER_384-Tumor	0.544325
DLBCL-RICOVER_401-Tumor	0.656496
DLBCL-RICOVER_408-Tumor	0.522784
DLBCL-RICOVER_417-Tumor	0.61314
DLBCL-RICOVER_431-Tumor	0.574039
DLBCL-RICOVER_440-Tumor	0.677016
DLBCL-RICOVER_449-Tumor	0.607449
DLBCL-RICOVER_451-Tumor	0.543127
DLBCL-RICOVER_463-Tumor	0.528463
DLBCL-RICOVER_467-Tumor	0.605707
DLBCL-RICOVER_469-Tumor	0.590417
DLBCL-RICOVER_473-Tumor	0.606299
DLBCL-RICOVER_478-Tumor	0.585748
DLBCL-RICOVER_496-Tumor	0.603593
DLBCL-RICOVER_506-Tumor	0.561943
DLBCL-RICOVER_522-Tumor	0.652966
DLBCL-RICOVER_533-Tumor	0.600006
DLBCL-RICOVER_543-Tumor	0.66417
DLBCL-RICOVER_554-Tumor	0.587608
DLBCL-RICOVER_575-Tumor	0.652414
DLBCL-RICOVER_577-Tumor	0.565328
DLBCL-RICOVER_583-Tumor	0.642348
DLBCL-RICOVER_585-Tumor	0.624043
DLBCL-RICOVER_597-Tumor	0.654784
DLBCL-RICOVER_617-Tumor	0.633617
DLBCL-RICOVER_623-Tumor	0.592052
DLBCL-RICOVER_632-Tumor	0.58571
DLBCL-RICOVER_678-Tumor	0.641716
DLBCL-RICOVER_685-Tumor	0.650615
DLBCL-RICOVER_692-Tumor	0.55409
DLBCL-RICOVER_694-Tumor	0.652399
DLBCL-RICOVER_701-Tumor	0.586395
DLBCL-RICOVER_704-Tumor	0.616302
DLBCL-RICOVER_711-Tumor	0.608238
DLBCL-RICOVER_712-Tumor	0.664025
DLBCL-RICOVER_720-Tumor	0.61338
DLBCL-RICOVER_744-Tumor	0.619858
DLBCL-RICOVER_763-Tumor	0.444495
DLBCL-RICOVER_773-Tumor	0.292073
DLBCL-RICOVER_780-Tumor	0.452633
DLBCL-RICOVER_787-Tumor	0.448173
DLBCL-RICOVER_822-Tumor	0.582806
DLBCL-RICOVER_826-Tumor	0.657446
DLBCL-RICOVER_829-Tumor	0.606596
DLBCL-RICOVER_850-Tumor	0.583973
DLBCL-RICOVER_865-Tumor	0.588744
DLBCL-RICOVER_866-Tumor	0.660924
DLBCL-RICOVER_910-Tumor	0.627697
DLBCL-RICOVER_945-Tumor	0.616729
DLBCL-RICOVER_948-Tumor	0.640271
DLBCL-RICOVER_950-Tumor	0.59013
DLBCL-RICOVER_956-Tumor	0.663699
DLBCL-RICOVER_977-Tumor	0.640846
DLBCL-RICOVER_978-Tumor	0.705042
DLBCL-RICOVER_985-Tumor	0.582702
DLBCL-RICOVER_99-Tumor	0.632666
Reddy_1008T	0.660078
Reddy_1016T	0.449433
Reddy_2043T	0.160137
Reddy_2044T	0.063089
Reddy_2045T	0.131285
Reddy_2046T	0.091789
Reddy_2047T	0.234983
Reddy_2048T	6.53e-4
Reddy_2057T	7.11e-4
Reddy_2060T	0.001281
Reddy_2072T	0.010466
Reddy_2073T	0.3583
Reddy_2074T	0.292233
Reddy_2075T	0.231014
Reddy_2076T	0.315835
Reddy_2077T	0.004162
Reddy_2078T	0.050788
Reddy_2079T	0.224643
Reddy_2080T	0.202537
Reddy_2081T	0.490106
Reddy_2083T	0.008535
Reddy_2084T	0.318514
Reddy_2085T	0.072584
Reddy_2087T	0.208814
Reddy_2088T	0.159572
Reddy_2089T	0.308695
Reddy_2091T	0.451066
Reddy_2092T	0.296072
Reddy_2093T	0.280111
Reddy_2095T	0.337668
Reddy_2097T	0.389527
Reddy_2100T	0.266256
Reddy_2101T	0.109743
Reddy_2102T	0.277765
Reddy_2103T	0.366816
Reddy_2106T	0.504434
Reddy_2107T	0.0033
Reddy_2109T	0.252634
Reddy_2110T	0.353339
Reddy_2111T	0.3403
Reddy_2112T	0.264448
Reddy_2113T	0.204262
Reddy_2114T	0.164683
Reddy_2115T	0.468247
Reddy_2120T	0.300638
Reddy_2121T	0.170889
Reddy_2122T	0.283454
Reddy_2123T	0.442601
Reddy_2124T	0.218223
Reddy_2125T	0.427466
Reddy_2126T	7.01e-4
Reddy_2127T	0.377658
Reddy_2128T	0.606073
Reddy_2130T	0.358648
Reddy_2133T	0.332513
Reddy_2134T	0.001788
Reddy_2135T	0.26181
Reddy_2136T	0.260147
Reddy_2137T	0.399011
Reddy_2138T	0.423989
Reddy_2140T	0.270756
Reddy_2141T	0.43626
Reddy_2142T	0.444754
Reddy_2143T	0.311505
Reddy_2144T	0.381675
Reddy_2145T	0.475821
Reddy_2146T	0.30873
Reddy_2147T	0.268396
Reddy_2148T	0.601443
Reddy_2149T	0.305514
Reddy_2150T	0.334397
Reddy_2151T	0.007282
Reddy_2152T	0.362541
Reddy_2153T	0.393256
Reddy_2154T	0.371888
Reddy_2155T	0.397535
Reddy_2156T	0.361653
Reddy_2157T	0.014892
Reddy_2158T	0.090916
Reddy_2159T	0.474383
Reddy_2160T	0.230447
Reddy_2161T	0.448016
Reddy_2162T	0.005313
Reddy_2163T	0.12629
Reddy_2164T	7.4e-5
Reddy_2165T	0.235949
Reddy_2166T	0.35443
Reddy_2190T	0.269596
Reddy_2191T	0.283585
Reddy_2192T	0.231954
Reddy_2193T	0.260062
Reddy_2194T	0.148766
Reddy_2195T	0.370538
Reddy_2196T	0.599045
Reddy_2198T	0.499322
Reddy_2199T	0.235476
Reddy_2200T	0.158029
Reddy_2201T	6.36e-4
Reddy_2203T	8.07e-4
Reddy_2204T	0.114874
Reddy_2205T	0.420623
Reddy_2206T	0.118884
Reddy_2207T	0.00112
Reddy_2208T	0.442527
Reddy_2209T	0.324955
Reddy_2210T	0.060988
Reddy_2211T	0.132334
Reddy_2212T	0.253532
Reddy_2213T	0.389611
Reddy_2214T	0.640504
Reddy_2215T	0.226341
Reddy_2216T	0.456469
Reddy_2217T	0.5074
Reddy_2219T	0.438791
Reddy_2220T	0.295448
Reddy_2221T	0.241987
Reddy_2222T	0.494011
Reddy_2223T	1.39e-4
Reddy_2224T	0.392806
Reddy_2225T	0.570369
Reddy_2226T	0.317573
Reddy_2227T	0.452561
